product_name,price,discount,date
JBL Tune 215BT,1499,50,2024-12-09
JBL Tune 215BT,1499,50,2024-12-10
JBL Tune 215BT,1499,50,2024-12-11
JBL Tune 215BT,1499,50,2024-12-12
JBL Tune 215BT,1499,50,2024-12-13
JBL Tune 215BT,1499,50,2024-12-14
JBL Tune 215BT,1499,50,2024-12-15
JBL Tune 215BT,1499,50,2024-12-16
JBL Tune 215BT,1499,50,2024-12-17
JBL Tune 215BT,1499,50,2024-12-18
JBL Tune 215BT,1499,50,2024-12-19
JBL Tune 215BT,1499,50,2024-12-20
JBL Tune 215BT,1499,50,2024-12-21
JBL Tune 215BT,1499,50,2024-12-22
JBL Tune 215BT,1499,50,2024-12-23
JBL Tune 215BT,1499,50,2024-12-24
JBL Tune 215BT,1499,50,2024-12-25
JBL Tune 215BT,1499,50,2024-12-26
JBL Tune 215BT,1499,50,2024-12-27
JBL Tune 215BT,1499,50,2024-12-28
JBL Tune 215BT,1499,50,2024-12-29
JBL Tune 215BT,1499,50,2024-12-30
JBL Tune 215BT,1499,50,2024-12-31
JBL Tune 215BT,1599,47,2025-01-01
JBL Tune 215BT,1599,47,2025-01-02
JBL Tune 215BT,1599,47,2025-01-03
JBL Tune 215BT,1599,47,2025-01-04
JBL Tune 215BT,1599,47,2025-01-05
JBL Tune 215BT,1599,47,2025-01-06
JBL Tune 215BT,1599,47,2025-01-07
JBL Tune 215BT,1599,47,2025-01-08
JBL Tune 215BT,1599,47,2025-01-09
JBL Tune 215BT,1599,47,2025-01-10
JBL Tune 215BT,1599,47,2025-01-11
JBL Tune 215BT,1499,50,2025-01-12
JBL Tune 215BT,1499,50,2025-01-13
JBL Tune 215BT,1499,50,2025-01-14
JBL Tune 215BT,1499,50,2025-01-15
JBL Tune 215BT,1499,50,2025-01-16
JBL Tune 215BT,1499,50,2025-01-17
JBL Tune 215BT,1499,50,2025-01-18
JBL Tune 215BT,1499,50,2025-01-19
JBL Tune 215BT,1599,47,2025-01-20
JBL Tune 215BT,1599,47,2025-01-21
JBL Tune 215BT,1599,47,2025-01-22
JBL Tune 215BT,1599,47,2025-01-23
JBL Tune 215BT,1599,47,2025-01-24
JBL Tune 215BT,1599,47,2025-01-25
JBL Tune 215BT,1599,47,2025-01-26
JBL Tune 215BT,1699,43,2025-01-27
JBL Tune 215BT,1699,43,2025-01-28
JBL Tune 215BT,1699,43,2025-01-29
JBL Tune 215BT,1699,43,2025-01-30
JBL Tune 215BT,1699,43,2025-01-31
JBL Tune 215BT,1699,43,2025-02-01
JBL Tune 215BT,1699,43,2025-02-02
JBL Tune 215BT,1699,43,2025-02-03
JBL Tune 215BT,1799,40,2025-02-04
JBL Tune 215BT,1799,40,2025-02-05
JBL Tune 215BT,1799,40,2025-02-06
JBL Tune 215BT,1799,40,2025-02-07
JBL Tune 215BT,1799,40,2025-02-08
JBL Tune 215BT,1799,40,2025-02-09
Oneplus Bullets Z2,1299,44,2024-12-09
Oneplus Bullets Z2,1299,44,2024-12-10
Oneplus Bullets Z2,1290,44,2024-12-11
Oneplus Bullets Z2,1299,44,2024-12-12
Oneplus Bullets Z2,1299,44,2024-12-13
Oneplus Bullets Z2,1299,44,2024-12-14
Oneplus Bullets Z2,1299,44,2024-12-15
Oneplus Bullets Z2,1299,44,2024-12-16
Oneplus Bullets Z2,1299,44,2024-12-17
Oneplus Bullets Z2,1799,22,2024-12-18
Oneplus Bullets Z2,1799,22,2024-12-19
Oneplus Bullets Z2,1399,39,2024-12-20
Oneplus Bullets Z2,1399,39,2024-12-21
Oneplus Bullets Z2,1399,39,2024-12-22
Oneplus Bullets Z2,1399,39,2024-12-23
Oneplus Bullets Z2,1399,39,2024-12-24
Oneplus Bullets Z2,1399,39,2024-12-25
